ID	CONCEPT	CONCEPT_FRENCH	DOCULECT	DOCULECT_NAME_IN_SOURCE	IPA	FORM	SEGMENTS	CONCEPT_ABBREVIATED	CONCEPT_FRENCH_ABBREVIATED	SEMANTIC_FIELD	SEMANTIC_FIELD_FRENCH	CONCEPTICON_ID	CONCEPTICON_GLOSS	IPA2	ALIGNMENT
1	get tired	se fatiguer	Bangime		bààndà							1996	GET TIRED	b aː ¹ n d a ¹	b aː ¹ n d a ¹
4	carry (baby) on shoulder; carry (sth) slung over shoulder or by a shoulder strap); put one’s arm on sb’s shoulder	porter (enfant) sur l'épaule; porter (objet, peut-être avec une sangle) sur l'épaule; poser son bras sur l'épaule de (qn)	Bangime		bàŋɡà-rà							413	CARRY ON SHOULDER	b a ¹ ŋ ɡ a ¹ + r a ¹	b a ¹ ŋ ɡ a ¹ + r a ¹
5	stay	rester	Bangime		bārà							987	REMAIN	b a ³ r a ¹	b a ³ r a ¹
7	injure, wound	blesser	Bangime		bàrmà							44	INJURE	b a ¹ r m a ¹	b a ¹ r m a ¹
10	winnow by shaking	vanner en secouant	Bangime		bɛ̀ɡɛ̀ɛ̀							2462	WINNOWING	b ɛ ¹ ɡ ɛː ¹	b ɛ ¹ ɡ ɛː ¹
12	ripen, harden	mûrir, durcir	Bangime		bījò							179	RIPEN	b i ³ dʒ o ¹	b i ³ dʒ o ¹
13	(water) drip	(eau) goutter	Bangime		bīlà							808	DRIP (FALL IN GLOBULES)	b i ³ l a ¹	b i ³ l a ¹
14	be sated (full, after eating)	se rassasier	Bangime		bīndà (1)							106	SATIATED	b i ³ n d a ¹ #	b i ³ n d a ¹ #
15	(day) break	(jour) poindre	Bangime		bīndà (2)							729	DAWN	b i ³ n d a ¹ #	b i ³ n d a ¹ #
16	lay (sth) down; set out (mat)	poser (qch); étaler (natte)	Bangime		bīn-dò							1411	LIE (REST)	b i ³ n + d o ¹	b i ³ n + d o ¹
17	go out	sortir	Bangime		bīrè							1107	GO OUT	b i ³ r e ¹	b i ³ r e ¹
