# Wordlist

# DATA
ID	CONCEPT	CONCEPT_FRENCH	DOCULECT	DOCULECT_NAME_IN_SOURCE	VALUE	FORM	SEGMENTS	CONCEPT_ABBREVIATED	CONCEPT_FRENCH_ABBREVIATED	SEMANTIC_FIELD	SEMANTIC_FIELD_FRENCH	SEMANTIC_REFERENCE	SEMANTIC_FIELD_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	ALIGNMENT
#
88068	(e.g. bird) fly	(oiseau etc.) voler	Toro_Tegu	Toro Tegu (Toupere, JH)	círú	círú	tʃ i ⁵ r u ⁵	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	7239.0	146.0.35.0.1.0	1441	FLY (MOVE THROUGH AIR)	1 7 8 5 7 8	AXTBYT	TI6RY6	22	22.T.C 22.I.V 22.6.T 22.R.C 22.Y.V 22.6.T	1.6 3.0 1.0 1.3 3.0 1.0	tʃi⁵ru⁵	0	7	tʃ i ⁵ r u ⁵
88069	(e.g. bird) fly	(oiseau etc.) voler	Ben_Tey	Ben Tey (Beni, JH)	kísíyé	kísíyé	k i ⁵ s i ⁵ j e ⁵	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	7239.0	146.0.35.0.1.0	1441	FLY (MOVE THROUGH AIR)	1 7 8 3 7 8 6 7 8	AXTBYTBYT	KI6SI6JE6	3	3.K.C 3.I.V 3.6.T 3.S.C 3.I.V 3.6.T 3.J.C 3.E.V 3.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ki⁵si⁵je⁵	0	1	k i ⁵ s i ⁵ - j e ⁵
88070	(e.g. bird) fly	(oiseau etc.) voler	Bankan_Tey	Bankan-Tey (Walo, JH)	kísíyé	kísíyé	k i ⁵ s i ⁵ j e ⁵	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	7239.0	146.0.35.0.1.0	1441	FLY (MOVE THROUGH AIR)	1 7 8 3 7 8 6 7 8	AXTBYTBYT	KI6SI6JE6	2	2.K.C 2.I.V 2.6.T 2.S.C 2.I.V 2.6.T 2.J.C 2.E.V 2.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ki⁵si⁵je⁵	0	1	k i ⁵ s i ⁵ - j e ⁵
88071	(e.g. bird) fly	(oiseau etc.) voler	Nanga	Nanga (Anda, JH)	kísíyé	kísíyé	k i ⁵ s i ⁵ j e ⁵	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	7239.0	146.0.35.0.1.0	1441	FLY (MOVE THROUGH AIR)	1 7 8 3 7 8 6 7 8	AXTBYTBYT	KI6SI6JE6	13	13.K.C 13.I.V 13.6.T 13.S.C 13.I.V 13.6.T 13.J.C 13.E.V 13.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ki⁵si⁵je⁵	0	1	k i ⁵ s i ⁵ - j e ⁵
88072	(e.g. bird) fly	(oiseau etc.) voler	Donno_So	Donno So	kíl-è:-	kíl-è:-	k i ⁵ l + eː ¹	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	7239.0	146.0.35.0.1.0	1441	FLY (MOVE THROUGH AIR)	1 7 8 5 9 7 8	AXTN_XT	KI6L_E6	7	7.K.C 7.I.V 7.6.T 7.L.c 7._._ 7.E.V 7.6.T	1.6 3.0 1.0 0.5 0.0 3.0 1.0	ki⁵l+eː¹	0	5	k i ⁵ - l + eː ¹
88073	(e.g. bird) fly	(oiseau etc.) voler	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	círé	círé	tʃ i ⁵ r e ⁵	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	7239.0	146.0.35.0.1.0	1441	FLY (MOVE THROUGH AIR)	1 7 8 5 7 8	AXTBYT	TI6RE6	9	9.T.C 9.I.V 9.6.T 9.R.C 9.E.V 9.6.T	1.6 3.0 1.0 1.3 3.0 1.0	tʃi⁵re⁵	0	7	tʃ i ⁵ r e ⁵
88074	(e.g. bird) fly	(oiseau etc.) voler	Perge_Tegu	Perge Tegu (Pergué, JH)	kíríyé	kíríyé	k i ⁵ r i ⁵ j e ⁵	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	7239.0	146.0.35.0.1.0	1441	FLY (MOVE THROUGH AIR)	1 7 8 5 7 8 6 7 8	AXTBYTBYT	KI6RI6JE6	15	15.K.C 15.I.V 15.6.T 15.R.C 15.I.V 15.6.T 15.J.C 15.E.V 15.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ki⁵ri⁵je⁵	0	1	k i ⁵ r i ⁵ - j e ⁵
88075	(e.g. bird) fly	(oiseau etc.) voler	Gourou	Gourou (Kiri, JH)	píré	píré	p i ⁵ r e ⁵	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	7239.0	146.0.35.0.1.0	1441	FLY (MOVE THROUGH AIR)	1 7 8 5 7 8	AXTBYT	PI6RE6	8	8.P.C 8.I.V 8.6.T 8.R.C 8.E.V 8.6.T	1.6 3.0 1.0 1.3 3.0 1.0	pi⁵re⁵	0	4	p i ⁵ r - e ⁵ - - - -
88076	(e.g. bird) fly	(oiseau etc.) voler	Togo_Kan_Koporo_pen	Togo-Kan (Koporo-pen, JH with BT)	kìrí kírì:	kìrí_kírì:	k i ¹ r i ⁵ _ k i ⁵ r iː ¹	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	7239.0	146.0.35.0.1.0	1441	FLY (MOVE THROUGH AIR)	1 7 8 5 7 8 9 1 7 8 5 7 8	AXTBYT_AXTBYT	KI6RI6_KI6RI6	18	18.K.C 18.I.V 18.6.T 18.R.C 18.I.V 18.6.T 18._._ 18.K.C 18.I.V 18.6.T 18.R.C 18.I.V 18.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	ki¹ri⁵_ki⁵riː¹	0	15	k i ¹ r i ⁵ _ k i ⁵ r iː ¹
88077	(e.g. bird) fly	(oiseau etc.) voler	Yorno_So	Yorno So (Yendouma, JH)	kíl-ɛ́:	kíl-ɛ́:	k i ⁵ l + ɛː ⁵	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	7239.0	146.0.35.0.1.0	1441	FLY (MOVE THROUGH AIR)	1 7 8 5 9 7 8	AXTN_XT	KI6L_E6	24	24.K.C 24.I.V 24.6.T 24.L.c 24._._ 24.E.V 24.6.T	1.6 3.0 1.0 0.5 0.0 3.0 1.0	ki⁵l+ɛː⁵	0	5	k i ⁵ - l + ɛː ⁵
88078	(e.g. bird) fly	(oiseau etc.) voler	Tommo_So_Tongo_Tongo	Tommo-So (Tongo Tongo, LM)	kíílí-yé	kíílí-yé	k iː ⁵ l i ⁵ + j e ⁵	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	7239.0	146.0.35.0.1.0	1441	FLY (MOVE THROUGH AIR)	1 7 8 5 7 8 9 6 7 8	AXTBYT_AXT	KI6LI6_JE6	19	19.K.C 19.I.V 19.6.T 19.L.C 19.I.V 19.6.T 19._._ 19.J.C 19.E.V 19.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	kiː⁵li⁵+je⁵	0	1	k iː ⁵ l i ⁵ + j e ⁵
88079	(e.g. bird) fly	(oiseau etc.) voler	Tebul_Ure	Tebul Ure (JH)	cíll-í:- (cíll-í:-yà-)	cíll-í:-	tʃ i ⁵ l l + iː ⁵	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	7239.0	146.0.35.0.1.0	1441	FLY (MOVE THROUGH AIR)	1 7 8 5 5 9 7 8	AXTLN_XT	TI6LL_I6	16	16.T.C 16.I.V 16.6.T 16.L.c 16.L.c 16._._ 16.I.V 16.6.T	1.6 3.0 1.0 1.1 0.5 0.0 3.0 1.0	tʃi⁵ll+iː⁵	0	5	tʃ i ⁵ l l + iː ⁵
88080	(e.g. bird) fly	(oiseau etc.) voler	Yanda_Dom	Yanda Dom (Yanda, JH)	kílíyé	kílíyé	k i ⁵ l i ⁵ j e ⁵	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	7239.0	146.0.35.0.1.0	1441	FLY (MOVE THROUGH AIR)	1 7 8 5 7 8 6 7 8	AXTBYTBYT	KI6LI6JE6	23	23.K.C 23.I.V 23.6.T 23.L.C 23.I.V 23.6.T 23.J.C 23.E.V 23.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ki⁵li⁵je⁵	0	1	k i ⁵ l i ⁵ - j e ⁵
88081	(e.g. bird) fly	(oiseau etc.) voler	Najamba_Kubewel_Adia	Najamba (Kubewel-Adia, JH)	pírí-y	pírí-y	p i ⁵ r i ⁵ + j	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	7239.0	146.0.35.0.1.0	1441	FLY (MOVE THROUGH AIR)	1 7 8 5 7 8 9 6	AXTBYT_A	PI6RI6_J	12	12.P.C 12.I.V 12.6.T 12.R.C 12.I.V 12.6.T 12._._ 12.J.C	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	pi⁵ri⁵+j	0	4	p i ⁵ r - i ⁵ + j - -
88082	(e.g. bird) fly	(oiseau etc.) voler	Tiranige_Boui	Tiranige (Boui, JH)	pílí-yó	pílí-yó	p i ⁵ l i ⁵ + j o ⁵	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	7239.0	146.0.35.0.1.0	1441	FLY (MOVE THROUGH AIR)	1 7 8 5 7 8 9 6 7 8	AXTBYT_AXT	PI6LI6_JU6	17	17.P.C 17.I.V 17.6.T 17.L.C 17.I.V 17.6.T 17._._ 17.J.C 17.U.V 17.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	pi⁵li⁵+jo⁵	0	4	p i ⁵ l - i ⁵ + j o ⁵
88083	(e.g. bird) fly	(oiseau etc.) voler	Mombo_Songho	Mombo (Songho, KP)	pílyê:	pílyê:	p i ⁵ l j eː ⁵¹	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	7239.0	146.0.35.0.1.0	1441	FLY (MOVE THROUGH AIR)	1 7 8 5 6 7 8	AXTBCYT	PI6LJE3	11	11.P.C 11.I.V 11.6.T 11.L.C 11.J.C 11.E.V 11.3.T	1.6 3.0 1.0 1.3 1.2 3.0 1.0	pi⁵ljeː⁵¹	0	4	p i ⁵ l j eː ⁵¹ - - - -
88084	(e.g. bird) fly	(oiseau etc.) voler	Ampari_Nando	Ampari (Nando, KP)	kíríyò (kìrìyé, kìrìyè-rí)	kíríyò	k i ⁵ r i ⁵ j o ¹	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	7239.0	146.0.35.0.1.0	1441	FLY (MOVE THROUGH AIR)	1 7 8 5 7 8 6 7 8	AXTBYTBYT	KI6RI6JU6	1	1.K.C 1.I.V 1.6.T 1.R.C 1.I.V 1.6.T 1.J.C 1.U.V 1.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ki⁵ri⁵jo¹	0	1	k i ⁵ r i ⁵ - j o ¹
88085	(e.g. bird) fly	(oiseau etc.) voler	Bunoge_Boudou	Bunoge (Boudou)	píllè	píllè	p i ⁵ l l e ¹	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	7239.0	146.0.35.0.1.0	1441	FLY (MOVE THROUGH AIR)	1 7 8 5 5 7 8	AXTMBYT	PI6LLE6	4	4.P.C 4.I.V 4.6.T 4.L.c 4.L.C 4.E.V 4.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	pi⁵lle¹	0	4	p i ⁵ l l e ¹ - - - -
88086	(e.g. bird) fly	(oiseau etc.) voler	Penange_Pinia	Penange (Pinia)	pírígè	pírígè	p i ⁵ r i ⁵ ɡ e ¹	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	7239.0	146.0.35.0.1.0	1441	FLY (MOVE THROUGH AIR)	1 7 8 5 7 8 1 7 8	AXTBYTBYT	PI6RI6KE6	14	14.P.C 14.I.V 14.6.T 14.R.C 14.I.V 14.6.T 14.K.C 14.E.V 14.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	pi⁵ri⁵ɡe¹	0	4	p i ⁵ r - i ⁵ - ɡ e ¹
#
18459	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Toro_Tegu	Toro Tegu (Toupere, JH)	árú-m	árú-m	a ⁵ r u ⁵ + m	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1524.0	23.0.8.0.2.0	1104	NURSE	7 8 5 7 8 9 4	XTBYT_A	A6RY6_M	22	22.A.V 22.6.T 22.R.C 22.Y.V 22.6.T 22._._ 22.M.C	3.0 1.0 1.3 3.0 1.0 0.0 1.6	a⁵ru⁵+m	0	16	- a ⁵ r u ⁵ + m - -
18460	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Ben_Tey	Ben Tey (Beni, JH)	árá-wú	árá-wú	a ⁵ r a ⁵ + w u ⁵	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1524.0	23.0.8.0.2.0	1104	NURSE	7 8 5 7 8 9 6 7 8	XTBYT_AXT	A6RA6_WY6	3	3.A.V 3.6.T 3.R.C 3.A.V 3.6.T 3._._ 3.W.C 3.Y.V 3.6.T	3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	a⁵ra⁵+wu⁵	0	16	- a ⁵ r a ⁵ + w u ⁵
18461	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Bankan_Tey	Bankan-Tey (Walo, JH)	árí-mí	árí-mí	a ⁵ r i ⁵ + m i ⁵	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1524.0	23.0.8.0.2.0	1104	NURSE	7 8 5 7 8 9 4 7 8	XTBYT_AXT	A6RI6_MI6	2	2.A.V 2.6.T 2.R.C 2.I.V 2.6.T 2._._ 2.M.C 2.I.V 2.6.T	3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	a⁵ri⁵+mi⁵	0	16	- a ⁵ r i ⁵ + m i ⁵
18462	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Nanga	Nanga (Anda, JH)	árá-mí	árá-mí	a ⁵ r a ⁵ + m i ⁵	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1524.0	23.0.8.0.2.0	1104	NURSE	7 8 5 7 8 9 4 7 8	XTBYT_AXT	A6RA6_MI6	13	13.A.V 13.6.T 13.R.C 13.A.V 13.6.T 13._._ 13.M.C 13.I.V 13.6.T	3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	a⁵ra⁵+mi⁵	0	16	- a ⁵ r a ⁵ + m i ⁵
18463	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Donno_So	Donno So	árà-mà	árà-mà	a ⁵ r a ¹ + m a ¹	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1524.0	23.0.8.0.2.0	1104	NURSE	7 8 5 7 8 9 4 7 8	XTBYT_AXT	A6RA6_MA6	7	7.A.V 7.6.T 7.R.C 7.A.V 7.6.T 7._._ 7.M.C 7.A.V 7.6.T	3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	a⁵ra¹+ma¹	0	16	- a ⁵ r a ¹ + m a ¹
