ID	NUMBER	ENGLISH	FRENCH	ENGLISH_SHORT	SEMFIELD_CODE	REFERENCE	OCCURRENCE	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY	ADD	COMMENT
23	23	man, male person	homme, personne mâle	man	6.0.7.0.1.0	167.0	25	683	PERSON	4		each separate concept
64	64	lie down, go to bed	se coucher	lie down	12.0.8.0.1.0	734.0	24	1585	SLEEP	4		each separate concept
67	67	uproot (peanuts, weeds) by hand	déraciner (arachides, mauvaises herbes) d'la main	uproot	37.0.20.0.1.0	2298.0	24		HARVEST			PICK
1	1	tooth	dent	tooth	10.0.21.0.1.0	499.0	25	1380	TOOTH	2		
2	2	water	eau	water	22.0.9.0.1.0	1495.0	25	948	WATER	2		
3	3	ear	oreille	ear	10.0.16.0.1.0	460.0	25	1247	EAR	2		
4	4	tongue	langue (corps)	tongue	10.0.18.0.2.0	478.0	25	1205	TONGUE	2		
6	6	woman, female person	femme, personne femelle	woman	6.0.8.0.1.0	169.0	25	962	WOMAN	4		
7	7	skin	peau	skin	10.0.2.0.1.0	309.0	25	763	SKIN	2		
8	8	dog	chien	dog	1.0.5.0.1.0	16.0	25	2009	DOG	2		
9	9	blood	sang	blood	10.0.2.0.5.0	313.0	25	946	BLOOD	2		
178	178	thick cotton thread (warp, in weaving)	fil épais de coton (chaîne, en tissage)	cotton, thread, warp	17.0.2.0.3.0	1253.0	22	133	THREAD	4		noun
187	187	unripe (fruit)	(fruit) cru	unripe	31.0.5.0.2.0	1902.0	22	1958	UNRIPE	4		also not yet ready
10	10	die	mourir	die	9.0.1.0.1.0	238.0	25	1494	DIE	2		
203	203	wind (airflow)	vent	wind (air)	60.0.6.0.1.0	3118.0	22	960	WIND	4		noun
11	11	foot	pied	foot	10.0.12.0.1.0	411.0	25	2098	FOOT OR LEG	2		
207	207	put on one's shoes	se chausser, mettre ses chaussures	put on	16.0.15.0.2.0	1129.0	22		???		put on	see DRESS UP
210	210	spit, emit a spit	cracher, faire un crachat	spit	11.0.11.0.1.0	612.0	22	1440	SPIT	4		also VOMIT
216	216	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	1.0.1.0.1.0	1.0	22		ANIMAL			not WILD ANIMAL
