ID	NUMBER	ENGLISH	FRENCH	ENGLISH_SHORT	SEMFIELD_CODE	REFERENCE	OCCURRENCE	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	1	tooth	dent	tooth	10.0.21.0.1.0	499.0	25	1380	TOOTH	2
#<<<										
2	2	water	eau	water	22.0.9.0.1.0	1495.0	25	948	WATER	2
2	2	water	eau	water	22.0.9.0.1.0	1495.0	25	1487	POUR	2
#>>>										
3	3	ear	oreille	ear	10.0.16.0.1.0	460.0	25	1247	EAR	2
4	4	tongue	langue (corps)	tongue	10.0.18.0.2.0	478.0	25	1205	TONGUE	2
5	5	person, human being	personne, être humain	person	6.0.1.0.1.0	150.0	25	683	PERSON	2
#<<<										
6	6	woman, female person	femme, personne femelle	woman	6.0.8.0.1.0	169.0	25	962	WOMAN	4
6	6	woman, female person	femme, personne femelle	woman	6.0.8.0.1.0	169.0	25	2105	FEMALE PERSON	4
6	6	woman, female person	femme, personne femelle	woman	6.0.8.0.1.0	169.0	25	2800	FEMALE PERSON OR MOTHER	4
#>>>										
7	7	skin	peau	skin	10.0.2.0.1.0	309.0	25	763	SKIN	2
8	8	dog	chien	dog	1.0.5.0.1.0	16.0	25	2009	DOG	2
9	9	blood	sang	blood	10.0.2.0.5.0	313.0	25	946	BLOOD	2
10	10	die	mourir	die	9.0.1.0.1.0	238.0	25	1494	DIE	2
#<<<										
11	11	foot	pied	foot	10.0.12.0.1.0	411.0	25	1301	FOOT	2
11	11	foot	pied	foot	10.0.12.0.1.0	411.0	25	2098	FOOT OR LEG	2
#>>>										
#<<<										
12	12	(single) grain, seed, nut	graine (individuelle), noix	grain, seed, nut	15.0.10.0.1.0	941.0	25	714	SEED	4
12	12	(single) grain, seed, nut	graine (individuelle), noix	grain, seed, nut	15.0.10.0.1.0	941.0	25	605	GRAIN	4
12	12	(single) grain, seed, nut	graine (individuelle), noix	grain, seed, nut	15.0.10.0.1.0	941.0	25	191	NUT	4
12	12	(single) grain, seed, nut	graine (individuelle), noix	grain, seed, nut	15.0.10.0.1.0	941.0	25	1762	STONE (OF FRUIT)	4
12	12	(single) grain, seed, nut	graine (individuelle), noix	grain, seed, nut	15.0.10.0.1.0	941.0	25	748	SOW SEEDS	4
