ID	NUMBER	ENGLISH	FRENCH	ENGLISH_SHORT	SEMFIELD_CODE	REFERENCE	OCCURRENCE
1	1	dog	chien	dog	1.0.5.0.1.0	16.0	25
2	2	person, human being	personne, être humain	person	6.0.1.0.1.0	150.0	25
3	3	child	enfant	child	6.0.4.0.1.0	154.0	25
4	4	man, male person	homme, personne mâle	man	6.0.7.0.1.0	167.0	25
5	5	woman, female person	femme, personne femelle	woman	6.0.8.0.1.0	169.0	25
6	6	die	mourir	die	9.0.1.0.1.0	238.0	25
7	7	kill	tuer	kill	9.0.2.0.1.0	251.0	25
8	8	skin	peau	skin	10.0.2.0.1.0	309.0	25
9	9	blood	sang	blood	10.0.2.0.5.0	313.0	25
10	10	bone	os	bone	10.0.6.0.1.0	343.0	25
11	11	liver	foie	liver	10.0.7.0.1.0	359.0	25
12	12	foot	pied	foot	10.0.12.0.1.0	411.0	25
13	13	head	tête	head	10.0.15.0.1.0	455.0	25
14	14	ear	oreille	ear	10.0.16.0.1.0	460.0	25
15	15	eye	œil	eye	10.0.17.0.1.0	464.0	25
16	16	tongue	langue (corps)	tongue	10.0.18.0.2.0	478.0	25
17	17	nose	nez	nose	10.0.19.0.1.0	483.0	25
18	18	tooth	dent	tooth	10.0.21.0.1.0	499.0	25
19	19	sit, sit down	s'asseoir	sit	12.0.1.0.1.0	690.0	25
20	20	stand (verb only)	se mettre debout (verbe seulement)	stand	12.0.4.0.1.0	704.0	25
21	21	(single) grain, seed, nut	graine (individuelle), noix	grain, seed, nut	15.0.10.0.1.0	941.0	25
22	22	cotton	coton	cotton	17.0.1.0.1.0	1247.0	25
23	23	drink (sth)	boire (qch)	drink	21.0.1.0.1.0	1436.0	25
24	24	water	eau	water	22.0.9.0.1.0	1495.0	25
25	25	meat	viande	meat	26.0.12.0.1.0	1682.0	25
26	26	fire	feu	fire	35.0.1.0.1.0	2012.0	25
27	27	smoke	fumée	smoke	35.0.11.0.1.0	2050.0	25
