# Wordlist

# DATA
ID	WEIGHTS	FORM	VALUE	ALIGNMENT	CONCEPT_IN_SOURCE	LANGID	TOKENS	IPA	DUPLICATES	SONARS	COGID	PROSTRINGS	NUMBERS	CONCEPT_FRENCH	CONCEPTICON_ID	DOCULECT	CLASSES	CONCEPT	BORROWINGS	AUTOCOGID
#
1	1.6 3.0 1.0 1.1 1.3 3.0 1.0	mùkkê	mùkkê	m u ¹ k: e ⁵¹	guest	29	m u ¹ k k e ⁵¹	mùkkê	0	4 7 8 1 1 7 8	19	AXTMBYT	29.M.C 29.Y.V 29.6.T 29.K.c 29.K.C 29.E.V 29.3.T	étranger		Soninke	MY6KKE3	!GUEST OR STRANGER		19
2	1.6 3.0 1.0 0.5 0.0 3.0 1.0 3.0 1.0	yòw-òó	yòw-òó	j o ¹ w + o: ¹⁵	guest, stranger (who lodges with a host)	27	j o ¹ w + o ¹ o ⁵	yòw-òó	0	6 7 8 6 9 7 8 7 8	17	AXTN_XTYT	27.J.C 27.U.V 27.6.T 27.W.c 27._._ 27.U.V 27.6.T 27.U.V 27.6.T	étranger (qui loge chez qqn), invité		Songhai_Kiini	JU6W_U6U6	!GUEST OR STRANGER		17
3	1.6 3.0 1.0 0.5 0.0 3.0 1.0	yòw-ò	yòw-ò	j o ¹ w + o ¹	guest, stranger (who lodges with a host)	28	j o ¹ w + o ¹	yòw-ò	0	6 7 8 6 9 7 8	17	AXTN_XT	28.J.C 28.U.V 28.6.T 28.W.c 28._._ 28.U.V 28.6.T	étranger (qui loge chez qqn), invité		Songhai_Senni	JU6W_U6	!GUEST OR STRANGER		17
4	1.6 3.0 1.0 1.3 3.0 1.1 1.0	dúnáⁿ	dúnáⁿ	d u ⁵ n ã ⁵ ∼	guest	2	d u ⁵ n ã ∼ ⁵	dúnáⁿ	0	1 7 8 4 7 4 8	1	AXTBYLT	2.T.C 2.Y.V 2.6.T 2.N.C 2.A.V 2.9.c 2.6.T	étranger, hôte		Bambara	TY6NA96	!GUEST OR STRANGER		1
5	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0	jīī-tūwⁿɔ̀	jīī-tūwⁿɔ̀	j iː ³ + t u ³ w̃ ∼ ɔ ¹	visitor, guest	3	dʒ iː ³³ + t u ³ w̃ ∼ ɔ ¹	jīī-tūwⁿɔ̀	0	1 7 8 9 1 7 8 6 4 7 8	75	AXT_AXTMBYT	3.T.C 3.I.V 3.4.T 3._._ 3.T.C 3.Y.V 3.6.T 3.W.c 3.9.C 3.U.V 3.6.T	étranger, invité		Bangime	TI4_TY6W9U6	!GUEST OR STRANGER	BAM	2
6	2.0 1.5 1.1 1.75 0.8	koɗɗo	koɗɗo	k o ɗ: o	visitor, guest	18	k o ɗ ɗ o	koɗɗo	0	1 7 1 1 7	8	AXMBZ	18.K.C 18.U.V 18.T.c 18.T.C 18.U.V	étranger, invité		Fulfulde	KUTTU	!GUEST OR STRANGER		8
7	1.6 3.0 1.0 1.3 3.0 1.0	súmū	súmū	s u ⁵ m u ³ -	visitor, guest	21	s u ⁵ m u ³	súmū	0	3 7 8 4 7 8	1	AXTBYT	21.S.C 21.Y.V 21.6.T 21.M.C 21.Y.V 21.6.T	étranger, invité		Jenaama	SY6MY6	!GUEST OR STRANGER		11
8	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	lò:sú-m	lò:sú-m\\lò:sú	- l oː ¹ - s u ⁵ ( + - m - - )	visitor, guest (from out of town)	5	l oː ¹ s u ⁵ + m	lò:sú-m	0	5 7 8 3 7 8 9 4	8733	AXTBYT_A	5.L.C 5.U.V 5.6.T 5.S.C 5.Y.V 5.6.T 5._._ 5.M.C	visiteur, étranger (en visite)		Ben_Tey	LU6SY6_M	!GUEST OR STRANGER		3
9	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	ǹdòsú-m	ǹdòsú-m\\ǹdòsú	n d o ¹ - s u ⁵ ( + - m - - )	visitor, guest (from out of town)	4	nd o ¹ s u ⁵ + m	ǹdòsú-m	0	4 7 8 3 7 8 9 4	8733	AXTBYT_A	4.N.C 4.U.V 4.6.T 4.S.C 4.Y.V 4.6.T 4._._ 4.M.C	visiteur, étranger (en visite)		Bankan_Tey	NU6SY6_M	!GUEST OR STRANGER		3
