ID	CONCEPT	CONCEPT_FRENCH	DOCULECT	DOCULECT_NAME_IN_SOURCE	VALUE	FORM	SEGMENTS	CONCEPT_ABBREVIATED	CONCEPT_FRENCH_ABBREVIATED	SEMANTIC_FIELD	SEMANTIC_FIELD_FRENCH	CONCEPTICON_ID	CONCEPTICON_GLOSS	IPA	ALIGNMENT
#															
88072	(e.g. bird) fly	(oiseau etc.) voler	Donno_So	Donno So	kíl-è:-	kíl-è:-	k i ⁵ l + eː ¹	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	1441	FLY (MOVE THROUGH AIR)	ki⁵l+eː¹	k i ⁵ l i ¹ + j ¹
88073	(e.g. bird) fly	(oiseau etc.) voler	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	círé	círé	tʃ i ⁵ r e ⁵	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	1441	FLY (MOVE THROUGH AIR)	tʃi⁵re⁵	tʃ i ⁵ r e ⁵
88082	(e.g. bird) fly	(oiseau etc.) voler	Tiranige_Boui	Tiranige (Boui, JH)	pílí-yó	pílí-yó	p i ⁵ l i ⁵ + j o ⁵	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	1441	FLY (MOVE THROUGH AIR)	pi⁵li⁵+jo⁵	p i ⁵ l i ⁵ + j o ⁵ 
88083	(e.g. bird) fly	(oiseau etc.) voler	Mombo_Songho	Mombo (Songho, KP)	pílyê:	pílyê:	p i ⁵ l j eː ⁵¹	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	1441	FLY (MOVE THROUGH AIR)	pi⁵ljeː⁵¹	p i ⁵ l - - + j eː ⁵¹ - - -
88086	(e.g. bird) fly	(oiseau etc.) voler	Penange_Pinia	Penange (Pinia)	pírígè	pírígè	p i ⁵ r i ⁵ ɡ e ¹	fly (verb)	voler (dans l'air), s'envoler	motion.fly	mouvement.s'envoler	1441	FLY (MOVE THROUGH AIR)	pi⁵ri⁵ɡe¹	p i ⁵ r i ⁵ + ɡ e ¹ 
880861			Donno_So	Donno So	kílì-ỳ							1441	FLY (MOVE THROUGH AIR)		k i ⁵ i ¹ + j ¹
880862			Tomo_Kan_Segue	Tomo Kan Segue								1441	FLY (MOVE THROUGH AIR)		
#															
18463	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Donno_So	Donno So	árà-mà	árà-mà	a ⁵ r a ¹ + m a ¹	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1104	NURSE	a⁵ra¹+ma¹	- a ⁵ r a ¹ + m a ¹
18464	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	árá-wá	árá-wá	a ⁵ r a ⁵ + w a ⁵	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1104	NURSE	a⁵ra⁵+wa⁵	- a ⁵ r a ⁵ + w a ⁵
18475	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Tiranige_Boui	Tiranige (Boui, JH)	árá-m(ú)	árá-m	a ⁵ r a ⁵ + m	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1104	NURSE	a⁵ra⁵+m	- a ⁵ r a ⁵ + m - -
18476	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Mombo_Songho	Mombo (Songho, KP)	árámì	árámì	a ⁵ r a ⁵ m i ¹	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1104	NURSE	a⁵ra⁵mi¹	- a ⁵ r a ⁵ + m i ¹
18478	(female) give suck to, nurse (infant)	(femelle) allaiter, faire téter (enfant)	Penange_Pinia	Penange (Pinia)	árá-mì (y-)	árá-mì	a ⁵ r a ⁵ + m i ¹	suckle, nurse	téter, allaier	milk.suckle	lait.téter	1104	NURSE	a⁵ra⁵+mi¹	- a ⁵ r a ⁵ + m i ¹
#															
48720	(individuals) come together, assemble, gather	(individus) se rassembler, se réunir	Donno_So	Donno So	mɔ̀l-ɛ́:	mɔ̀l-ɛ́:	m ɔ ¹ l + ɛː ⁵	assemble, gather	rassembler	together/separate.assemble	ensemble/à part.rassembler	1831	MEET	mɔ¹l+ɛː⁵	m ɔ ¹ l ɛː ⁵
