ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
1	Bangime	!GUEST OR STRANGER	jīī-tūwⁿɔ̀	dʒ iː ³³ + t u ³ w̃ ∼ ɔ ¹	1	j iː ³ + t u ³ w̃ ∼ ɔ ¹	1 7 8 9 1 7 8 6 4 7 8	AXT_AXTMBYT	TI4_TY6W9U6	1	1.T.C 1.I.V 1.4.T 1._._ 1.T.C 1.Y.V 1.6.T 1.W.c 1.9.C 1.U.V 1.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
2	Ben_Tey	!GUEST OR STRANGER	lò:sú-m	l oː ¹ s u ⁵ + m	8733	l oː ¹ s u ⁵ ( + m - - - )	5 7 8 3 7 8 9 4	AXTBYT_A	LU6SY6_M	3	3.L.C 3.U.V 3.6.T 3.S.C 3.Y.V 3.6.T 3._._ 3.M.C	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	0
3	Bankan_Tey	!GUEST OR STRANGER	ǹdòsú-m	nd o ¹ s u ⁵ + m	8733	nd o ¹ s u ⁵ ( + m - - - )	4 7 8 3 7 8 9 4	AXTBYT_A	NU6SY6_M	2	2.N.C 2.U.V 2.6.T 2.S.C 2.Y.V 2.6.T 2._._ 2.M.C	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	0
4	Nanga	!GUEST OR STRANGER	lò:sí	l oː ¹ s i ⁵	8733	l oː ¹ s i ⁵ ( - - - - - )	5 7 8 3 7 8	AXTBYT	LU6SI6	12	12.L.C 12.U.V 12.6.T 12.S.C 12.I.V 12.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
5	Perge_Tegu	!GUEST OR STRANGER	lò:sú-n	l oː ¹ s u ⁵ + n	8733	l oː ¹ s u ⁵ ( + n - - - )	5 7 8 3 7 8 9 4	AXTBYT_A	LU6SY6_N	14	14.L.C 14.U.V 14.6.T 14.S.C 14.Y.V 14.6.T 14._._ 14.N.C	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	0
6	Gourou	!GUEST OR STRANGER	yérí-n	j e ⁵ r i ⁵ + n	8363	j e ⁵ r i ⁵ ( + n - - - )	6 7 8 5 7 8 9 4	AXTBYT_A	JE6RI6_N	7	7.J.C 7.E.V 7.6.T 7.R.C 7.I.V 7.6.T 7._._ 7.N.C	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	0
7	Togo_Kan	!GUEST OR STRANGER	yéríⁿ	j e ⁵ r ĩ ∼ ⁵	8363	j e ⁵ r ĩ ⁵ ( - ∼ - - - )	6 7 8 5 7 4 8	AXTBYLT	JE6RI96	18	18.J.C 18.E.V 18.6.T 18.R.C 18.I.V 18.9.c 18.6.T	1.6 3.0 1.0 1.3 3.0 1.1 1.0	0
8	Yorno_So	!GUEST OR STRANGER	yér-nɛ́	j e ⁵ r + n ɛ ⁵	8363	j e ⁵ r ?- ?- ( - n ɛ ⁵ - )	6 7 8 5 9 4 7 8	AXTN_AXT	JE6R_NE6	23	23.J.C 23.E.V 23.6.T 23.R.c 23._._ 23.N.C 23.E.V 23.6.T	1.6 3.0 1.0 0.5 0.0 1.6 3.0 1.0	0
9	Tommo_So	!GUEST OR STRANGER	yòùnjì-nɛ́	j o ¹ u ¹ n dʒ i ¹ + n ɛ ⁵	8363	j ou ¹ n dʒ i ¹ ( + n ɛ ⁵ )	6 7 8 7 8 4 1 7 8 9 4 7 8	AXTYTMBYT_AXT	JU6Y6NTI6_NE6	19	19.J.C 19.U.V 19.6.T 19.Y.V 19.6.T 19.N.c 19.T.C 19.I.V 19.6.T 19._._ 19.N.C 19.E.V 19.6.T	1.6 3.0 1.0 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0	0
10	Dogul_Dom	!GUEST OR STRANGER	yàrùwúl	j a ¹ r u ¹ w u ⁵ l	8363	j a ¹ r u ¹ ( - w u ⁵ l )	6 7 8 5 7 8 6 7 8 5	AXTBYTBYTN	JA6RY6WY6L	5	5.J.C 5.A.V 5.6.T 5.R.C 5.Y.V 5.6.T 5.W.C 5.Y.V 5.6.T 5.L.c	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 0.5	0
