ID	WEIGHTS	FORM	VALUE	ALIGNMENT	CONCEPT_IN_SOURCE	LANGID	TOKENS	IPA	DUPLICATES	SONARS	COGID	PROSTRINGS	NUMBERS	CONCEPT_FRENCH	CONCEPTICON_ID	DOCULECT	CLASSES	CONCEPT	BORROWINGS
1	1.6 3.0 1.0 1.1 1.3 3.0 1.0	mùkkê	mùkkê	m u ¹ k: e ⁵¹	guest	29	m u ¹ k k e ⁵¹	mùkkê	0	4 7 8 1 1 7 8	19	AXTMBYT	29.M.C 29.Y.V 29.6.T 29.K.c 29.K.C 29.E.V 29.3.T	étranger		Soninke	MY6KKE3	!GUEST OR STRANGER	
2	1.6 3.0 1.0 0.5 0.0 3.0 1.0 3.0 1.0	yòw-òó	yòw-òó	j o ¹ w ( + ) o: ¹⁵	guest, stranger (who lodges with a host)	27	j o ¹ w + o ¹ o ⁵	yòw-òó	0	6 7 8 6 9 7 8 7 8	18	AXTN_XTYT	27.J.C 27.U.V 27.6.T 27.W.c 27._._ 27.U.V 27.6.T 27.U.V 27.6.T	étranger (qui loge chez qqn), invité		Songhai_Kiini	JU6W_U6U6	!GUEST OR STRANGER	
3	1.6 3.0 1.0 0.5 0.0 3.0 1.0	yòw-ò	yòw-ò	j o ¹ w ( + ) o ¹	guest, stranger (who lodges with a host)	28	j o ¹ w + o ¹	yòw-ò	0	6 7 8 6 9 7 8	18	AXTN_XT	28.J.C 28.U.V 28.6.T 28.W.c 28._._ 28.U.V 28.6.T	étranger (qui loge chez qqn), invité		Songhai_Senni	JU6W_U6	!GUEST OR STRANGER	
4	1.6 3.0 1.0 1.3 3.0 1.1 1.0	dúnáⁿ	dúnáⁿ	( - - - - ) d u ⁵ n ( - ) ã ( ∼ ) ⁵	guest	2	d u ⁵ n ã ∼ ⁵	dúnáⁿ	0	1 7 8 4 7 4 8	1	AXTBYLT	2.T.C 2.Y.V 2.6.T 2.N.C 2.A.V 2.9.c 2.6.T	étranger, hôte		Bambara	TY6NA96	!GUEST OR STRANGER	
5	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0	jīī-tūwⁿɔ̀	jīī-tūwⁿɔ̀	( dʒ iː ³ + ) t u ³ w̃ ( ∼ ) ɔ ( - ) ¹	visitor, guest	3	dʒ iː ³³ + t u ³ w̃ ∼ ɔ ¹	jīī-tūwⁿɔ̀	0	1 7 8 9 1 7 8 6 4 7 8	1	AXT_AXTMBYT	3.T.C 3.I.V 3.4.T 3._._ 3.T.C 3.Y.V 3.6.T 3.W.c 3.9.C 3.U.V 3.6.T	étranger, invité		Bangime	TI4_TY6W9U6	!GUEST OR STRANGER	BAM
6	2.0 1.5 1.1 1.75 0.8	koɗɗo	koɗɗo	k o ɗ: o	visitor, guest	18	k o ɗ ɗ o	koɗɗo	0	1 7 1 1 7	8	AXMBZ	18.K.C 18.U.V 18.T.c 18.T.C 18.U.V	étranger, invité		Fulfulde	KUTTU	!GUEST OR STRANGER	
7	1.6 3.0 1.0 1.3 3.0 1.0	súmū	súmū	( - - - - ) s u ⁵ m ( - ) u ( - ) ³	visitor, guest	21	s u ⁵ m u ³	súmū	0	3 7 8 4 7 8	1	AXTBYT	21.S.C 21.Y.V 21.6.T 21.M.C 21.Y.V 21.6.T	étranger, invité		Jenaama	SY6MY6	!GUEST OR STRANGER	
8	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	lò:sú-m	lò:sú-m\\lò:sú	l oː ¹ s u ⁵ ( + m - - - )	visitor, guest (from out of town)	5	l oː ¹ s u ⁵ + m	lò:sú-m	0	5 7 8 3 7 8 9 4	20	AXTBYT_A	5.L.C 5.U.V 5.6.T 5.S.C 5.Y.V 5.6.T 5._._ 5.M.C	visiteur, étranger (en visite)		Ben_Tey	LU6SY6_M	!GUEST OR STRANGER	
9	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	ǹdòsú-m	ǹdòsú-m\\ǹdòsú	nd o ¹ s u ⁵ ( + m - - - )	visitor, guest (from out of town)	4	nd o ¹ s u ⁵ + m	ǹdòsú-m	0	4 7 8 3 7 8 9 4	20	AXTBYT_A	4.N.C 4.U.V 4.6.T 4.S.C 4.Y.V 4.6.T 4._._ 4.M.C	visiteur, étranger (en visite)		Bankan_Tey	NU6SY6_M	!GUEST OR STRANGER	
10	1.6 3.0 1.0 1.3 3.0 1.0	lò:sí	lò:sí	l oː ¹ s i ⁵ ( - - - - - )	visitor, guest (from out of town)	24	l oː ¹ s i ⁵	lò:sí	0	5 7 8 3 7 8	20	AXTBYT	24.L.C 24.U.V 24.6.T 24.S.C 24.I.V 24.6.T	visiteur, étranger (en visite)		Nanga	LU6SI6	!GUEST OR STRANGER	
11	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	lò:sú-n	lò:sú-n	l oː ¹ s u ⁵ ( + n - - - )	visitor, guest (from out of town)	26	l oː ¹ s u ⁵ + n	lò:sú-n	0	5 7 8 3 7 8 9 4	20	AXTBYT_A	26.L.C 26.U.V 26.6.T 26.S.C 26.Y.V 26.6.T 26._._ 26.N.C	visiteur, étranger (en visite)		Perge_Tegu	LU6SY6_N	!GUEST OR STRANGER	
12	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	yérí-n	yérí-n	j e ⁵ r i ⁵ ( + n - - - )	visitor, guest (from out of town)	19	j e ⁵ r i ⁵ + n	yérí-n	0	6 7 8 5 7 8 9 4	6	AXTBYT_A	19.J.C 19.E.V 19.6.T 19.R.C 19.I.V 19.6.T 19._._ 19.N.C	visiteur, étranger (en visite)		Gourou	JE6RI6_N	!GUEST OR STRANGER	
13	1.6 3.0 1.0 1.3 3.0 1.1 1.0	yéríⁿ	yéríⁿ	j e ⁵ r ĩ ⁵ ( - ∼ - - - )	visitor, guest (from out of town)	32	j e ⁵ r ĩ ∼ ⁵	yéríⁿ	0	6 7 8 5 7 4 8	6	AXTBYLT	32.J.C 32.E.V 32.6.T 32.R.C 32.I.V 32.9.c 32.6.T	visiteur, étranger (en visite)		Togo_Kan	JE6RI96	!GUEST OR STRANGER	
