# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
#
1	Bambara	!GUEST OR STRANGER	dúnáⁿ	d u ⁵ n ã ∼ ⁵	1	d u ⁵ n ã ∼ ⁵	1 7 8 4 7 4 8	AXTBYLT	TY6NA96	2	2.T.C 2.Y.V 2.6.T 2.N.C 2.A.V 2.9.c 2.6.T	1.6 3.0 1.0 1.3 3.0 1.1 1.0	0
2	Bangime	!GUEST OR STRANGER	yīī_tūwⁿɔ̀	j iː ³³ _ t u ³ w̃ ∼ ɔ ¹	2	j iː ³³ _ t u ³ w̃ ∼ ɔ ¹	6 7 8 9 1 7 8 6 4 7 8	AXT_AXTMBYT	JI4_TY6W9U6	3	3.J.C 3.I.V 3.4.T 3._._ 3.T.C 3.Y.V 3.6.T 3.W.c 3.9.C 3.U.V 3.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
3	Bankan_Tey	!GUEST OR STRANGER	ǹdòsúm	n ¹ d o ¹ s u ⁵ m	3	n ¹ d o ¹ s u ⁵ m	4 8 1 7 8 3 7 8 4	ATBYTBYTN	N6TU6SY6M	4	4.N.C 4.6.T 4.T.C 4.U.V 4.6.T 4.S.C 4.Y.V 4.6.T 4.M.c	1.6 1.0 1.3 3.0 1.0 1.3 3.0 1.0 0.5	0
4	Ben_Tey	!GUEST OR STRANGER	lò:súm	l oː ¹ s u ⁵ m	3	- - l oː ¹ s u ⁵ m	5 7 8 3 7 8 4	AXTBYTN	LU6SY6M	5	5.L.C 5.U.V 5.6.T 5.S.C 5.Y.V 5.6.T 5.M.c	1.6 3.0 1.0 1.3 3.0 1.0 0.5	0
5	Bunoge	!GUEST OR STRANGER	dó:njì	d oː ⁵ n dʒ i ¹	5	d oː ⁵ n dʒ i ¹	1 7 8 4 1 7 8	AXTMBYT	TU6NTI6	15	15.T.C 15.U.V 15.6.T 15.N.c 15.T.C 15.I.V 15.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
6	Dogul_Dom	!GUEST OR STRANGER	yàrùwúl	j a ¹ r u ¹ w u ⁵ l	6	j a ¹ r u ¹ w u ⁵ l	6 7 8 5 7 8 6 7 8 5	AXTBYTBYTN	JA6RY6WY6L	16	16.J.C 16.A.V 16.6.T 16.R.C 16.Y.V 16.6.T 16.W.C 16.Y.V 16.6.T 16.L.c	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 0.5	0
7	Donno_So	!GUEST OR STRANGER	wòɲjù-nɔ́	w o ¹ ɲ dʒ u ¹ + n ɔ ⁵	7	w o ¹ - - ɲ dʒ u ¹ + n ɔ ⁵	6 7 8 4 1 7 8 9 4 7 8	AXTMBYT_AXT	WU6NTY6_NU6	17	17.W.C 17.U.V 17.6.T 17.N.c 17.T.C 17.Y.V 17.6.T 17._._ 17.N.C 17.U.V 17.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0	0
8	Fulfulde	!GUEST OR STRANGER	koɗɗo	k o ɗ ɗ o	8	k o ɗ ɗ o	1 7 1 1 7	AXMBZ	KUTTU	18	18.K.C 18.U.V 18.T.c 18.T.C 18.U.V	2.0 1.5 1.1 1.75 0.8	0
9	Gourou	!GUEST OR STRANGER	yérí-n	j e ⁵ r i ⁵ + n	9	j e ⁵ r i - ⁵ - + n - -	6 7 8 5 7 8 9 4	AXTBYT_A	JE6RI6_N	19	19.J.C 19.E.V 19.6.T 19.R.C 19.I.V 19.6.T 19._._ 19.N.C	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	0
10	Jamsay	!GUEST OR STRANGER	yérí-n	j e ⁵ r i ⁵ + n	9	j e ⁵ r i - ⁵ - + n - -	6 7 8 5 7 8 9 4	AXTBYT_A	JE6RI6_N	20	20.J.C 20.E.V 20.6.T 20.R.C 20.I.V 20.6.T 20._._ 20.N.C	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	0
11	Jenaama	!GUEST OR STRANGER	súmū	s u ⁵ m u ³	11	s u ⁵ m u ³	3 7 8 4 7 8	AXTBYT	SY6MY6	21	21.S.C 21.Y.V 21.6.T 21.M.C 21.Y.V 21.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
12	Mombo	!GUEST OR STRANGER	gìlà_gílí	ɡ i ¹ l a ¹ _ ɡ i ⁵ l i ⁵	12	ɡ i ¹ l a ¹ _ ɡ i ⁵ l i ⁵	1 7 8 5 7 8 9 1 7 8 5 7 8	AXTBYT_AXTBYT	KI6LA6_KI6LI6	22	22.K.C 22.I.V 22.6.T 22.L.C 22.A.V 22.6.T 22._._ 22.K.C 22.I.V 22.6.T 22.L.C 22.I.V 22.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
13	Najamba	!GUEST OR STRANGER	bèmbǎ:	b e ¹ m b aː ¹⁵	13	b e ¹ m b aː ¹⁵	1 7 8 4 1 7 8	AXTMBYT	PE6MPA2	23	23.P.C 23.E.V 23.6.T 23.M.c 23.P.C 23.A.V 23.2.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
14	Nanga	!GUEST OR STRANGER	lò:sí	l oː ¹ s i ⁵	3	- - l oː ¹ s i ⁵ -	5 7 8 3 7 8	AXTBYT	LU6SI6	24	24.L.C 24.U.V 24.6.T 24.S.C 24.I.V 24.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
15	Penange	!GUEST OR STRANGER	bì:mbà	b iː ¹ m b a ¹	13	b iː ¹ m b a ¹	1 7 8 4 1 7 8	AXTMBYT	PI6MPA6	25	25.P.C 25.I.V 25.6.T 25.M.c 25.P.C 25.A.V 25.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
16	Perge_Tegu	!GUEST OR STRANGER	lò:sún	l oː ¹ s u ⁵ n	3	- - l oː ¹ s u ⁵ n	5 7 8 3 7 8 4	AXTBYTN	LU6SY6N	26	26.L.C 26.U.V 26.6.T 26.S.C 26.Y.V 26.6.T 26.N.c	1.6 3.0 1.0 1.3 3.0 1.0 0.5	0
17	Songhai_Kiini	!GUEST OR STRANGER	yòwòó	j o ¹ w o ¹ o ⁵	17	j o ¹ w o ¹ o ⁵	6 7 8 6 7 8 7 8	AXTBYTYT	JU6WU6U6	27	27.J.C 27.U.V 27.6.T 27.W.C 27.U.V 27.6.T 27.U.V 27.6.T	1.6 3.0 1.0 1.3 3.0 1.0 3.0 1.0	0
18	Songhai_Senni	!GUEST OR STRANGER	yòwò	j o ¹ w o ¹	17	j o ¹ w o ¹ - -	6 7 8 6 7 8	AXTBYT	JU6WU6	28	28.J.C 28.U.V 28.6.T 28.W.C 28.U.V 28.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
19	Soninke	!GUEST OR STRANGER	mùkkê	m u ¹ k k e ⁵¹	19	m u ¹ k k e ⁵¹	4 7 8 1 1 7 8	AXTMBYT	MY6KKE3	29	29.M.C 29.Y.V 29.6.T 29.K.c 29.K.C 29.E.V 29.3.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
20	Tebul_Ure	!GUEST OR STRANGER	lògòdé:	l o ¹ ɡ o ¹ d eː ⁵	20	l o ¹ ɡ o ¹ d eː ⁵	5 7 8 1 7 8 1 7 8	AXTBYTBYT	LU6KU6TE6	30	30.L.C 30.U.V 30.6.T 30.K.C 30.U.V 30.6.T 30.T.C 30.E.V 30.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
21	Tiranige_Diga	!GUEST OR STRANGER	bí:má	b iː ⁵ m a ⁵	13	b iː ⁵ m - a ⁵	1 7 8 4 7 8	AXTBYT	PI6MA6	31	31.P.C 31.I.V 31.6.T 31.M.C 31.A.V 31.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
22	Togo_Kan	!GUEST OR STRANGER	yéríⁿ	j e ⁵ r ĩ ∼ ⁵	9	j e ⁵ r ĩ ∼ ⁵ - - - - -	6 7 8 5 7 4 8	AXTBYLT	JE6RI96	32	32.J.C 32.E.V 32.6.T 32.R.C 32.I.V 32.9.c 32.6.T	1.6 3.0 1.0 1.3 3.0 1.1 1.0	0
23	Tommo_So	!GUEST OR STRANGER	yòùnjì-nɛ́	j o ¹ u ¹ n dʒ i ¹ + n ɛ ⁵	7	j o ¹ u ¹ n dʒ i ¹ + n ɛ ⁵	6 7 8 7 8 4 1 7 8 9 4 7 8	AXTYTMBYT_AXT	JU6Y6NTI6_NE6	33	33.J.C 33.U.V 33.6.T 33.Y.V 33.6.T 33.N.c 33.T.C 33.I.V 33.6.T 33._._ 33.N.C 33.E.V 33.6.T	1.6 3.0 1.0 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0	0
24	Toro_Tegu	!GUEST OR STRANGER	lòsù-rⁿu	l o ¹ s u ¹ + r̃ ∼ u	24	l o ¹ s u ¹ + r̃ ∼ u	5 7 8 3 7 8 9 5 4 7	AXTBYT_ACZ	LU6SY6_R9Y	36	36.L.C 36.U.V 36.6.T 36.S.C 36.Y.V 36.6.T 36._._ 36.R.C 36.9.C 36.Y.V	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 1.2 0.7	0
25	Yanda_Dom	!GUEST OR STRANGER	nò_nò:zù	n o ¹ _ n oː ¹ z u ¹	25	n o ¹ _ n oː ¹ z u ¹	4 7 8 9 4 7 8 3 7 8	AXT_AXTBYT	NU6_NU6SY6	37	37.N.C 37.U.V 37.6.T 37._._ 37.N.C 37.U.V 37.6.T 37.S.C 37.Y.V 37.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0
