ID	CONCEPT_IN_SOURCE	IPA	CONCEPT_FRENCH	CONCEPTICON_ID	DOCULECT	CONCEPT	BORROWINGS	TOKENS
1	guest	dúnáⁿ	étranger, hôte		Bambara	!GUEST OR STRANGER		d u ⁵ n ã ∼ ⁵
2	visitor, guest	yīī_tūwⁿɔ̀	étranger, invité		Bangime	!GUEST OR STRANGER	BAM	j iː ³³ _ t u ³ w̃ ∼ ɔ ¹
3	visitor, guest (from out of town)	ǹdòsúm	visiteur, étranger (en visite)		Bankan_Tey	!GUEST OR STRANGER		n ¹ d o ¹ s u ⁵ m
4	visitor, guest (from out of town)	lò:súm	visiteur, étranger (en visite)		Ben_Tey	!GUEST OR STRANGER		l oː ¹ s u ⁵ m
5	visitor, guest (from out of town)	dó:njì	visiteur, étranger (en visite)		Bunoge	!GUEST OR STRANGER		d oː ⁵ n dʒ i ¹
6	visitor, guest (from out of town)	yàrùwúl	visiteur, étranger (en visite)		Dogul_Dom	!GUEST OR STRANGER		j a ¹ r u ¹ w u ⁵ l
7	visitor, guest (from out of town)	wòɲjù-nɔ́	visiteur, étranger (en visite)		Donno_So	!GUEST OR STRANGER		w o ¹ ɲ dʒ u ¹ + n ɔ ⁵
8	visitor, guest	koɗɗo	étranger, invité		Fulfulde	!GUEST OR STRANGER		k o ɗ ɗ o
9	visitor, guest (from out of town)	yérí-n	visiteur, étranger (en visite)		Gourou	!GUEST OR STRANGER		j e ⁵ r i ⁵ + n
10	visitor, guest (from out of town)	yérí-n	visiteur, étranger (en visite)		Jamsay	!GUEST OR STRANGER		j e ⁵ r i ⁵ + n
11	visitor, guest	súmū	étranger, invité		Jenaama	!GUEST OR STRANGER		s u ⁵ m u ³
12	visitor, guest (from out of town)	gìlà_gílí	visiteur, étranger (en visite)		Mombo	!GUEST OR STRANGER		ɡ i ¹ l a ¹ _ ɡ i ⁵ l i ⁵
13	visitor, guest (from out of town)	bèmbǎ:	visiteur, étranger (en visite)		Najamba	!GUEST OR STRANGER		b e ¹ m b aː ¹⁵
14	visitor, guest (from out of town)	lò:sí	visiteur, étranger (en visite)		Nanga	!GUEST OR STRANGER		l oː ¹ s i ⁵
15	visitor, guest (from out of town)	bì:mbà	visiteur, étranger (en visite)		Penange	!GUEST OR STRANGER		b iː ¹ m b a ¹
16	visitor, guest (from out of town)	lò:sún	visiteur, étranger (en visite)		Perge_Tegu	!GUEST OR STRANGER		l oː ¹ s u ⁵ n
17	guest, stranger (who lodges with a host)	yòwòó	étranger (qui loge chez qqn), invité		Songhai_Kiini	!GUEST OR STRANGER		j o ¹ w o ¹ o ⁵
18	guest, stranger (who lodges with a host)	yòwò	étranger (qui loge chez qqn), invité		Songhai_Senni	!GUEST OR STRANGER		j o ¹ w o ¹
19	guest	mùkkê	étranger		Soninke	!GUEST OR STRANGER		m u ¹ k k e ⁵¹
20	visitor, guest (from out of town)	lògòdé:	visiteur, étranger (en visite)		Tebul_Ure	!GUEST OR STRANGER		l o ¹ ɡ o ¹ d eː ⁵
21	visitor, guest (from out of town)	bí:má	visiteur, étranger (en visite)		Tiranige_Diga	!GUEST OR STRANGER		b iː ⁵ m a ⁵
22	visitor, guest (from out of town)	yéríⁿ	visiteur, étranger (en visite)		Togo_Kan	!GUEST OR STRANGER		j e ⁵ r ĩ ∼ ⁵
23	visitor, guest (from out of town)	yòùnjì-nɛ́	visiteur, étranger (en visite)		Tommo_So	!GUEST OR STRANGER		j o ¹ u ¹ n dʒ i ¹ + n ɛ ⁵
24	visitor, guest (from out of town)	lòsù-rⁿu	visiteur, étranger (en visite)		Toro_Tegu	!GUEST OR STRANGER		l o ¹ s u ¹ + r̃ ∼ u
25	visitor, guest (from out of town)	nò_nò:zù	visiteur, étranger (en visite)		Yanda_Dom	!GUEST OR STRANGER		n o ¹ _ n oː ¹ z u ¹
26	visitor, guest (from out of town)	yér-nɛ́	visiteur, étranger (en visite)		Yorno_So	!GUEST OR STRANGER		j e ⁵ r + n ɛ ⁵
27	age, long life	ɡwìì	âge, longévité	1789	Bangime	AGE		ɡ w iː ¹
28	get old, age (verb)	pɛ́	vieiillir, ê. ou devenir vieux	1789	Bankan_Tey	AGE		p ɛ ⁵
29	get old, age (verb)	pɛ́	vieiillir, ê. ou devenir vieux	1789	Ben_Tey	AGE		p ɛ ⁵
30	get old, age (verb)	kɛ̀mnɔ̀_kánì	vieiillir, ê. ou devenir vieux	1789	Bunoge	AGE		k ɛ ¹ m n ɔ ¹ _ k a ⁵ n i ¹
31	get old, age (verb)	páy_ndìyè	vieiillir, ê. ou devenir vieux	1789	Dogul_Dom	AGE		p a ⁵ j _ n d i ¹ j e ¹
32	get old, age (verb)	páy_nd-ɛ̀:	vieiillir, ê. ou devenir vieux	1789	Donno_So	AGE		p a ⁵ j _ n d + ɛː ¹
33	age, long life	naywu-de	âge, longévité	1789	Fulfulde	AGE		n a j w u + d e
34	get old, age (verb)	pɛ́:ⁿ	vieiillir, ê. ou devenir vieux	1789	Gourou	AGE		p ɛ̃ː ∼ ⁵
35	get old, age (verb)	pɛ́:ⁿ	vieiillir, ê. ou devenir vieux	1789	Jamsay	AGE		p ɛ̃ː ∼ ⁵
36	get old, age (verb)	ká:nú_kánì	vieiillir, ê. ou devenir vieux	1789	Mombo	AGE		k aː ⁵ n u ⁵ _ k a ⁵ n i ¹
37	get old, age (verb)	kúnjɛ́	vieiillir, ê. ou devenir vieux	1789	Najamba	AGE		k u ⁵ n dʒ ɛ ⁵
38	get old, age (verb)	pɛ́:	vieiillir, ê. ou devenir vieux	1789	Nanga	AGE		p ɛː ⁵
39	get old, age (verb)	ká:mnɔ́_kán	vieiillir, ê. ou devenir vieux	1789	Penange	AGE		k aː ⁵ m n ɔ ⁵ _ k a ⁵ n
40	get old, age (verb)	pɛ́:	vieiillir, ê. ou devenir vieux	1789	Perge_Tegu	AGE		p ɛː ⁵
41	[intr] (living thing) become old, elderly	zé:n	(être vivant) devenir vieux, âgé	1789	Songhai_Kiini	AGE		z eː ⁵ n
42	[intr] (living thing) become old, elderly	zé:n	(être vivant) devenir vieux, âgé	1789	Songhai_Senni	AGE		z eː ⁵ n
43	get old, age (verb)	pɛ́	vieiillir, ê. ou devenir vieux	1789	Tebul_Ure	AGE		p ɛ ⁵
44	get old, age (verb)	kúnjó	vieiillir, ê. ou devenir vieux	1789	Tiranige_Diga	AGE		k u ⁵ n dʒ o ⁵
