concepts	languages	average coverage	varieties
100	37	0.87	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke,Gourou,Bozo_Korondougou_sud,Bozo_Korondougou_nord,Bozo_Pondori_sud,Tomo_Kan,Bozo_Hainyaxo,Bozo_Pondori_nord,Bozo_Debo,Bozo_Kotya,Bozo_Tieyaxo,Bozo_Tiema_Cewe	BAD,BARK,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,COLD,COME,COW,CRY,DIE,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,EYE,FALL,FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NIGHT,NINE,NOSE,OPEN,PESTLE,PISS,PUSH,ROOT,ROTTEN,SALT,SAND,SEE,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TREE,VILLAGE,WATER,WING,WOMAN,YEAR
100	36	0.87	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke,Gourou,Bozo_Korondougou_sud,Bozo_Korondougou_nord,Bozo_Pondori_sud,Tomo_Kan,Bozo_Hainyaxo,Bozo_Pondori_nord,Bozo_Debo,Bozo_Kotya,Bozo_Tieyaxo	BAD,BARK,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,COLD,COME,COW,CRY,DIE,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,EYE,FALL,FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NIGHT,NINE,NOSE,OPEN,PESTLE,PISS,PUSH,ROOT,ROTTEN,SALT,SAND,SEE,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TREE,VILLAGE,WATER,WING,WOMAN,YEAR
100	35	0.87	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke,Gourou,Bozo_Korondougou_sud,Bozo_Korondougou_nord,Bozo_Pondori_sud,Tomo_Kan,Bozo_Hainyaxo,Bozo_Pondori_nord,Bozo_Debo,Bozo_Kotya	BAD,BARK,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,COLD,COME,COW,CRY,DIE,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,EYE,FALL,FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NIGHT,NINE,NOSE,OPEN,PESTLE,PISS,PUSH,ROOT,ROTTEN,SALT,SAND,SEE,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TREE,VILLAGE,WATER,WING,WOMAN,YEAR
100	34	0.86	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke,Gourou,Bozo_Korondougou_sud,Bozo_Korondougou_nord,Bozo_Pondori_sud,Tomo_Kan,Bozo_Hainyaxo,Bozo_Pondori_nord,Bozo_Debo	BAD,BARK,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,COLD,COME,COW,CRY,DIE,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,EYE,FALL,FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NIGHT,NINE,NOSE,OPEN,PESTLE,PISS,PUSH,ROOT,ROTTEN,SALT,SAND,SEE,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TREE,VILLAGE,WATER,WING,WOMAN,YEAR
100	33	0.86	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke,Gourou,Bozo_Korondougou_sud,Bozo_Korondougou_nord,Bozo_Pondori_sud,Tomo_Kan,Bozo_Hainyaxo,Bozo_Pondori_nord	BAD,BARK,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,COLD,COME,COW,CRY,DIE,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,EYE,FALL,FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NIGHT,NINE,NOSE,OPEN,PESTLE,PISS,PUSH,ROOT,ROTTEN,SALT,SAND,SEE,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TREE,VILLAGE,WATER,WING,WOMAN,YEAR
100	32	0.86	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke,Gourou,Bozo_Korondougou_sud,Bozo_Korondougou_nord,Bozo_Pondori_sud,Tomo_Kan,Bozo_Hainyaxo	BAD,BARK,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,COLD,COME,COW,CRY,DIE,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,EYE,FALL,FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NIGHT,NINE,NOSE,OPEN,PESTLE,PISS,PUSH,ROOT,ROTTEN,SALT,SAND,SEE,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TREE,VILLAGE,WATER,WING,WOMAN,YEAR
100	31	0.85	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke,Gourou,Bozo_Korondougou_sud,Bozo_Korondougou_nord,Bozo_Pondori_sud,Tomo_Kan	BAD,BARK,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,COLD,COME,COW,CRY,DIE,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,EYE,FALL,FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NIGHT,NINE,NOSE,OPEN,PESTLE,PISS,PUSH,ROOT,ROTTEN,SALT,SAND,SEE,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TREE,VILLAGE,WATER,WING,WOMAN,YEAR
100	30	0.88	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke,Gourou,Bozo_Korondougou_sud,Bozo_Korondougou_nord,Bozo_Pondori_sud	BAD,BARK,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,COLD,COME,COW,CRY,DIE,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,EYE,FALL,FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NIGHT,NINE,NOSE,OPEN,PESTLE,PISS,PUSH,ROOT,ROTTEN,SALT,SAND,SEE,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TREE,VILLAGE,WATER,WING,WOMAN,YEAR
100	29	0.87	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke,Gourou,Bozo_Korondougou_sud,Bozo_Korondougou_nord	BAD,BARK,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,COLD,COME,COW,CRY,DIE,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,EYE,FALL,FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NIGHT,NINE,NOSE,OPEN,PESTLE,PISS,PUSH,ROOT,ROTTEN,SALT,SAND,SEE,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TREE,VILLAGE,WATER,WING,WOMAN,YEAR
100	28	0.87	Bangime,Nanga,Bankan_Tey,Toro_Tegu,Yanda_Dom,Yorno_So,Perge_Tegu,Mombo,Najamba,Tommo_So,Jamsay,Tiranige_Diga,Fulfulde,Togo_Kan,Tebul_Ure,Ben_Tey,Penange,Bunoge,Songhai_Senni,Dogul_Dom,Songhai_Kiini,Jenaama,Toro_So,Bambara,Donno_So,Soninke,Gourou,Bozo_Korondougou_sud	BAD,BARK,BELLY,BIG,BIRD,BITE,BLOOD,BONE,BREAST,BREATHE,BURN (SOMETHING),CHEST,CHICKEN,CHIEFTAIN,CHILD,COLD,COME,COW,CRY,DIE,DOOR,DRINK,DUST,EAR,EAT,EGG,EIGHT,EYE,FALL,FAT (ORGANIC SUBSTANCE),FEAR (BE AFRAID),FIGHT,FIND,FISH,FLOWER,FLY (MOVE THROUGH AIR),FOUR,FRIEND,FULL,GIVE,GIVE BIRTH,GOOD,HEAD,HIDE (CONCEAL),HIP,HORN (ANATOMY),HORSE,HOT,HUSBAND,IRON,KILL,LAUGH,LEAF,LEFT,LIE DOWN,LOOK FOR,LOUSE,MAIZE,MAN,MILK,MILLET,MOON,MOTHER,MOUTH,NIGHT,NINE,NOSE,OPEN,PESTLE,PISS,PUSH,ROOT,ROTTEN,SALT,SAND,SEE,SEVEN,SHARP,SHOW,SING,SIT,SIX,SKY,SMOKE,SMOOTH,SNAKE,SPEAR,STAR,SUCK,SUN,SWEEP,TAIL,THORN,THREE,TREE,VILLAGE,WATER,WING,WOMAN,YEAR
