Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
-	<?>	yōlō-cɛ̄ɛ̄ⁿ-māā-kèwⁿ, mūwā-nā	Jenaama	204	U+002d
g	g	dùgòⁿ-kɛ̄ɛ̄gū, sórógō	Jenaama	154	U+0067
^k	k	kùmbùrù, kɔ̄ɔ̄-nā	Jenaama	142	U+005e U+006b
n	n	mūwā-nā, bāànā	Jenaama	129	U+006e
l	l	būlēwⁿ, sílē	Jenaama	116	U+006c
à	à	dàràmàyīwⁿ, kàlàmàntùŋɔ́	Jenaama	113	U+00e0
^s	s	sɔ̄ⁿ, sílē	Jenaama	105	U+005e U+0073
b	b	kùmbùrù, sébú-sébū	Jenaama	104	U+0062
m	m	kùmbùrù, mɔ̄nɔ̄mì	Jenaama	102	U+006d
^t	t	tūɥ̄-gù, tɔ̀bɛ̀	Jenaama	95	U+005e U+0074
ā	ā	jāŋān-tàbà, mānāmì	Jenaama	90	U+0101
ū	ū	būlēwⁿ, mūwā-nā	Jenaama	84	U+016b
à$	à	wúwò-nà, jāŋān-tàbà	Jenaama	68	U+00e0 U+0024
r	r	pírí-pīrī, sórógō	Jenaama	66	U+0072
y	y	tīyɔ̄ⁿ, tīyɛ̄	Jenaama	63	U+0079
k	k	mìskììnà-mà-kɛ̄lɛ̄, tēè-kɔ̀lù	Jenaama	62	U+006b
ù	ù	kùmbùrù, kùgù-bōgū	Jenaama	62	U+00f9
ɔ̀	ɔ̀	kɔ̀ɔ̀ⁿjɛ́wⁿ, pɔ̀ŋɔ̀náwⁿ	Jenaama	61	U+0254 U+0300
^p	p	pīⁿ, pùlēwⁿ	Jenaama	59	U+005e U+0070
ā$	ā	mūwā-nā, pā	Jenaama	59	U+0101 U+0024
ɔ̄	ɔ̄	mɔ̄nɔ̄mì, yɔ̄gɔ̄-yɔ̄gɔ̀-nà	Jenaama	56	U+0254 U+0304
^b	b	būlēwⁿ, bāànā	Jenaama	52	U+005e U+0062
ī	ī	tīyɔ̄ⁿ, tīyɛ̄	Jenaama	52	U+012b
^d	d	dūwɔ̄, dòndì	Jenaama	49	U+005e U+0064
ì	ì	pìyⁿɛ̀, bìrìgì	Jenaama	47	U+00ec
ŋ	ŋ	sɔ̀ŋgɔ̀ⁿ-kúŋgólō, jāŋān-tàbà	Jenaama	46	U+014b
wⁿ$	wⁿ	kɔ̀ɔ̀ⁿjɛ́wⁿ, sùwɔ̀-lɛ̄wⁿ	Jenaama	45	U+0077 U+207f U+0024
ù$	ù	míyⁿɛ̀-gù, tūɥ̄-gù	Jenaama	45	U+00f9 U+0024
d	d	kèndē-bòndò, bàndà	Jenaama	44	U+0064
w	w	mūwā-nā, wúwò-nà	Jenaama	43	U+0077
ū$	ū	bōgū, kānū	Jenaama	42	U+016b U+0024
ō$	ō	sórógō, wógō	Jenaama	41	U+014d U+0024
ɛ̄	ɛ̄	sùwɔ̀-lɛ̄wⁿ, kɛ̄lɛ̄mù	Jenaama	40	U+025b U+0304
ɛ̀	ɛ̀	míyⁿɛ̀-gù, pùnàŋ-kɛ̀rɛ̀bɛ̄	Jenaama	38	U+025b U+0300
í	í	sílē, míyⁿɛ̀-gù	Jenaama	35	U+00ed
ɔ̄$	ɔ̄	sɔ̄gɔ̄, túwɔ̄	Jenaama	33	U+0254 U+0304 U+0024
