ID	DOCULECT	CONCEPT	TOKENS	MORPHEMES
1	Bondu_So	FRIEND	n a ¹ l e ¹ + dʒ uː ⁵¹	friend dʒu-class-animate
2	Tebul_Ure	HEAD	k u ⁵ + ɡ ɔ ⁵	head ɡɔ-class-bodyparts
3	Tebul_Ure	MOUTH	m ¹ b u ¹ + ɡ ɔ ⁵	mouth ɡɔ-class-bodyparts
4	Penange	TREE	t i ¹ n d i ¹ + ɡ ɔ ¹	tree ɡɔ-class-long
5	Dogul_Dom	COW	n aː ¹⁵ + ɡ	cow ɡ-class-animate
6	Dogul_Dom	DONKEY	d u ⁵ l u ¹ + ɡ	donkey ɡ-class-animate
7	Dogul_Dom	FOOT OR LEG	n aː ¹⁵ + ɡ	foot ɡ-class-bodyparts
8	Dogul_Dom	GRASS	k ɔː ¹⁵ + ɡ	grass ɡ-class-long
9	Dogul_Dom	HEAD	k iː ⁵¹ + ɡ	head ɡ-class-bodyparts
10	Dogul_Dom	KEY	k a ⁵ j + ɡ eː ¹ + ɡ	lock child ɡ-class-animate
11	Dogul_Dom	NECK	m ɔː ¹⁵ + ɡ	neck ɡ-class-bodyparts
12	Dogul_Dom	WEEK	dʒ uː ⁵¹ + ɡ	week ɡ-class-long
13	Dogul_Dom	WOMAN	j aː ¹⁵ + ɡ	woman ɡ-class-animate
14	Dogul_Dom	PATH OR ROAD	o ⁵ s u ¹ + ɡ	road ɡ-class-long
15	Dogul_Dom	PESTLE	k u ¹ n eː ¹⁵ + ɡ	pound ɡ-class-long
16	Dogul_Dom	CASSAVA	k uː ¹ + b eː ¹⁵ + ɡ	cassava ɡ-class-round
17	Dogul_Dom	MOON	w ɔː ¹⁵ + ɡ	moon ɡ-class-round
18	Donno_So	FRIEND	a ¹ n u ¹ + ɡ eː ¹⁵	friend ɡeː-class-animate
19	Ampari	NAME	i ¹ n i ¹ + ɡ e ⁵	name ɡe-class-bodyparts
20	Bunoge	BLANKET	ɲ a ⁵ m + ɡ e ¹	blanket ɡe-class-round
21	Tiranige_Diga	BREAST	u ¹ n dʒ i ¹ + ɡ e ¹	breast ɡe-class-round
22	Tiranige_Diga	MILLET	j oː ¹ + ɡ e ¹	millet ɡe-class-round
23	Dogul_Dom	FISH	i ⁵ s i ¹ + ɡ i ¹	fish ɡi-class-animate
